,bh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
60,0.087,0.038271473385692735,0.0014309514165199637,0.10664107560559656,1.407203919061679,1.116182333796565,1.601340409414406,1.3261439601256604,1.2321027397449587,1.4074558074465797,0.276895247389975,0.20743630292383894,0.3711511436398475
61,0.088,0.07918599772873856,0.031012180163875948,0.15076952749779732,1.3868367659851868,1.2478970474687412,1.4917943481135947,1.5740811672880366,1.4006511914270507,1.885323153903885,0.09011571830389693,0.035693270045742416,0.3377753621263535
62,0.089,0.04394886870615416,0.012111014053224794,0.0872995247171896,1.590579384587981,1.4628949983904165,1.724034851791763,1.542360292514378,1.3660195359036962,1.6718049318014436,0.13263900496343875,0.03052730315840008,0.3150771899250422
63,0.09,0.07900648348720472,0.0018254183307865705,0.22090168521773737,1.5001063293368218,1.2606207877389664,1.7790603344081366,1.4825718243699155,1.2994430578686134,1.6513095540911775,0.12808019343675325,0.02269403322523649,0.266539762598097
64,0.091,0.07975388967579829,0.026516228669525962,0.12437201110308195,1.4983822218033642,1.3208003509472854,1.6958652304419626,1.4450761363785198,1.2061484785554024,1.7039570592933655,0.16450959451839317,0.058401750175414185,0.47176190755362535
65,0.092,0.10356460504669382,0.04247840640582458,0.17877229579018358,1.4015361516683507,1.1236091158664632,1.5503489430127109,1.405466602294349,1.3047482853052543,1.5697908714410944,0.12871675756341852,0.01916971685851116,0.4196000554558497
66,0.093,0.09935997779467666,0.052784513146253625,0.16617293143916775,1.4788751570924554,1.1876590528851458,1.5940793131375872,1.5497394627380725,1.2634804775015138,1.723454867042483,0.11124234974648635,0.04778229353539501,0.28208260350839914
67,0.094,0.12211679106328786,0.014102749788613039,0.28698327155221653,1.3916446578758455,1.1935737939589073,1.6891479696014995,1.4106600634663264,1.2537671598146,1.568128956560208,0.1305120734898417,0.019656454167398144,0.3568254596648671
68,0.095,0.09697635273658631,0.09662302078755451,0.09746218416650503,1.4020582056725375,1.3246452677074543,1.5085009953745265,1.4900190373233193,1.4852255159577359,1.4966101292009961,0.11543404691831939,0.044564934547399786,0.2128790764283338
69,0.096,0.10666023493415047,0.0038536644145904524,0.2214131115232362,1.2897975047210806,1.0624487495616273,1.4657475080496591,1.4541877072458393,1.2210997592914452,1.635550226922543,0.16938534018010346,0.004373572270074811,0.403768130201
70,0.097,0.08157650430569933,0.034713186999849634,0.18451015641263385,1.3447009648028796,1.1474255185029951,1.5107360636420102,1.3573021039141344,1.124196960298529,1.5305956421351226,0.3203708546490935,0.2786920167925364,0.3793524628263785
71,0.098,0.07550652620806687,0.017711109015255695,0.18184573281040817,1.4627903812792487,1.309687155720436,1.554503979735507,1.3935346329468647,1.0669098892103628,1.612356889004556,0.12083559019301876,0.0081670115998631,0.3079745779790779
72,0.099,0.03654072524403213,0.0008227684324888894,0.0869128151373445,1.4226295456473883,1.3618535780516234,1.5059914701795456,1.332769890570042,1.035782879551039,1.4574746270214665,0.1640163351521293,0.005328555212206428,0.3644408486110562
73,0.1,0.06549205249615127,0.02400982952329001,0.12715678002670178,1.3019508070756414,1.1340234187703924,1.637159230921427,1.3459183527685985,1.1857836365470966,1.49135707384423,0.1744899157950349,0.1009626867317474,0.3055235619188407
74,0.101,0.08587107923974129,0.027435011930869578,0.1852150186701124,1.4558282230570143,1.2859035558490168,1.6650593999278342,1.4482980241774253,1.178486175975802,1.7260942232291994,0.1786553089771802,0.001407827480928144,0.4888263313830654
75,0.102,0.14285154726911903,0.013218063573663239,0.22075376671942035,1.5278099219468546,1.265616930084209,1.799187924096197,1.5232259054782151,1.3078153874533127,1.6493714833534563,0.13723164028829754,0.021981404392295265,0.2678105723686657
76,0.103,0.10941369159816078,0.03491941060925768,0.16066883832830625,1.4414753272101906,1.3820616517969064,1.4959134808265937,1.3611327977691605,1.0048038854115542,1.7012134906475498,0.25614857376680744,0.005112196266711421,0.4713155981113311
77,0.104,0.06426624984625892,0.02346588247070905,0.10422295358343933,1.4878000355311363,1.4727734763787594,1.5160959821774849,1.3893507075452576,1.339747753533164,1.4230923304245655,0.2547410435023605,0.21851328656480157,0.298316961509561
78,0.105,0.18851386937019915,0.08254509534872483,0.3397894339177801,1.3999061843370457,1.2557961051499367,1.4625202026287993,1.4936544877112552,1.1879860192336287,1.5977181587611817,0.19548647769438848,0.014106050907880856,0.45042047645036964
79,0.106,0.041409562080112476,0.005822478122955477,0.11031927492071042,1.5215829542023471,1.3447874936035469,1.6725383288927027,1.4684318311351674,1.2786486327424684,1.66267262705223,0.1092383857323554,0.017159893403889452,0.3753116970089477
80,0.107,0.09451287524867763,0.003607669392449309,0.2708086925802885,1.4246194066671694,1.2290881229976944,1.6724482715239608,1.4784725347480008,1.1472016376598302,1.8298675380680858,0.15295574378415852,0.010315045338232551,0.3640462121000516
81,0.108,0.08916836214214284,0.027743098157502692,0.13941451223301024,1.4551067726422964,1.057677292202549,1.8058976470797419,1.469775124412833,1.2815441745458434,1.6092859383696672,0.11285233457838191,0.029170540679584273,0.34745982406514403
82,0.109,0.0955419319897224,0.02382987016184121,0.1619609401894625,1.3988437618190483,1.1314587637568456,1.5869185706669275,1.4853235820151396,1.401991109023944,1.5932701836606955,0.1572150953298925,0.055802243111455714,0.2689996944689109
83,0.11,0.049130109974502005,0.0019268488600148492,0.1499059993727674,1.4167439549137848,1.3065809275538736,1.528781067953442,1.3792526781434389,1.2391975743967167,1.4867831606352864,0.20798227562818924,0.06671535330159413,0.434397969976687
84,0.111,0.09137973746638511,0.003477240676886403,0.2693456384191132,1.2831767467790869,1.003010041180541,1.3862842500980752,1.3732333772665588,1.2691106011271076,1.5692243779916073,0.25899743336821757,0.1378472453485221,0.40304914127932406
85,0.112,0.08940050048495148,0.00619387364261167,0.18424303375443593,1.334820713763293,1.0325479918414329,1.6403988977474464,1.4247565033468297,1.1072776272517313,1.5820734311272249,0.183019075188267,0.027387237101164696,0.39990931482104297
86,0.113,0.16305649741665368,0.10531350073123436,0.24256329980821503,1.4409463816283101,1.4082624432517563,1.4790383898937245,1.4823123319189913,1.3724932174669933,1.5249319248561433,0.11399623159247195,0.039147072734358565,0.22094142340715323
87,0.114,0.05888888814275281,0.01203450948791121,0.1061779937767282,1.4039701770731032,1.2474785724533806,1.5055194937014873,1.5373885541177295,1.3484779457493725,1.6635515769731708,0.12573410921421221,0.06195823352243198,0.21173340402140278
88,0.115,0.1133428014881223,0.020009312540044996,0.2736321204927731,1.4607570483421872,1.2796924024153646,1.5607155789094371,1.3466919026433102,1.1890119253194318,1.5919013323751947,0.22782089396205385,0.13155783662968715,0.3416582074093311
89,0.116,0.09336723806514417,0.022304218820133632,0.1563549142141308,1.3554856499195584,1.337015972874968,1.3763232342775582,1.349607659607611,1.2546755147860391,1.4337520606994585,0.3907130237987052,0.36510006242195675,0.4196096981724727
90,0.117,0.07056392039408013,0.023393426535360154,0.11409623670228212,1.3353593325571806,1.2482812514449102,1.3880462745353956,1.3273706589394418,1.271538466299896,1.3942950735276847,0.3297834603127961,0.21805110209246548,0.4236987461306316
91,0.118,0.11542288308871881,0.07859975546041888,0.1490251845510876,1.463836145563206,1.4008407290015654,1.5673334458013883,1.3961308675748167,1.3100571480080674,1.5576483861962696,0.16796501148260148,0.12258468768728806,0.23337942058226432
92,0.119,0.10994477050361101,0.10994477050361105,0.10994477050361105,1.4205484198569485,1.4205484198569482,1.4205484198569482,0.9634383747170377,0.9634383747170379,0.9634383747170379,0.3271055206498331,0.32710552064983306,0.32710552064983306
93,0.12,0.02138850801710453,0.02138850801710453,0.02138850801710453,1.3098850763232959,1.3098850763232959,1.3098850763232959,1.366328558406565,1.366328558406565,1.366328558406565,0.2933965104965285,0.2933965104965285,0.2933965104965285
